Channels,PIR,Run,Seed,Throughput_flits_cycle_IP,Delay_cycles,Energy_J,Wireless_Utilization,Energy_per_Throughput
1,0.01,1,0,0.0117357,3615.41,0.000310151,0.18009,2.642799321728e-02
1,0.01,2,100,0.0112721,3502.91,0.000310155,0.18859,2.751528109225e-02
1,0.01,3,200,0.0102973,3321.75,0.000310044,0.206095,3.010925193983e-02
1,0.01,4,300,0.0112049,3489.4,0.000310114,0.189663,2.767664146936e-02
1,0.01,5,400,0.00932639,3611.12,0.000309977,0.227429,3.323654704553e-02
1,0.01,6,500,0.0107044,3720.62,0.000310083,0.198903,2.896780763051e-02
1,0.01,7,600,0.0107053,3793.7,0.000310102,0.196331,2.896714711405e-02
1,0.01,8,700,0.00954427,3788.13,0.000310045,0.222222,3.248493598777e-02
1,0.01,9,800,0.0104336,3507.91,0.000310073,0.203355,2.971869728569e-02
1,0.01,10,900,0.0109944,3512.26,0.000310149,0.193689,2.820972495088e-02
1,0.03,1,0,0.00986632,4657.37,0.000310101,0.214632,3.143025971183e-02
1,0.03,2,100,0.0100313,4729.3,0.000310114,0.211977,3.091463718561e-02
1,0.03,3,200,0.00931727,4567.92,0.000310068,0.226319,3.327884670080e-02
1,0.03,4,300,0.0102335,4563.8,0.000310136,0.2074,3.030595592906e-02
1,0.03,5,400,0.0100074,4710.52,0.000310149,0.213106,3.099196594520e-02
1,0.03,6,500,0.0102222,4539.45,0.000310174,0.206646,3.034317465908e-02
1,0.03,7,600,0.00976693,4625.43,0.000310095,0.216143,3.174948525279e-02
1,0.03,8,700,0.0100169,4598.25,0.000310108,0.211671,3.095848016852e-02
1,0.03,9,800,0.00894227,4850.28,0.00030999,0.235434,3.466569450486e-02
1,0.03,10,900,0.00983594,4182.57,0.000310112,0.217628,3.152845584662e-02
1,0.04,1,0,0.0090217,4926.68,0.000309992,0.23398,3.436070807054e-02
1,0.04,2,100,0.00970573,4646.61,0.000310109,0.218202,3.195112577828e-02
1,0.04,3,200,0.010428,4555.61,0.000310151,0.202036,2.974213655543e-02
1,0.04,4,300,0.010128,4970.91,0.00031012,0.208986,3.062006319115e-02
1,0.04,5,400,0.00879731,4645.78,0.000309984,0.240651,3.523622561897e-02
1,0.04,6,500,0.0103859,4659.1,0.000310146,0.205141,2.986221704426e-02
1,0.04,7,600,0.00981467,4969.27,0.00031014,0.216216,3.159963605501e-02
1,0.04,8,700,0.0104462,4755.23,0.000310145,0.202648,2.968974363884e-02
1,0.04,9,800,0.00937153,4450.05,0.000310046,0.228311,3.308381875745e-02
1,0.04,10,900,0.0109562,4697.75,0.000310191,0.193972,2.831191471496e-02
1,0.06,1,0,0.00988194,4761.33,0.000310094,0.214938,3.137987075412e-02
1,0.06,2,100,0.0101931,4927.82,0.000310131,0.208029,3.042558201136e-02
1,0.06,3,200,0.0104041,4706.63,0.000310205,0.205444,2.981564959968e-02
1,0.06,4,300,0.0104757,4770.16,0.000310136,0.202327,2.960527697433e-02
1,0.06,5,400,0.00966146,4736.69,0.000310089,0.217914,3.209545969243e-02
1,0.06,6,500,0.0104527,4691.32,0.000310123,0.201621,2.966917638505e-02
1,0.06,7,600,0.00979774,4972.8,0.000310092,0.213283,3.164933954157e-02
1,0.06,8,700,0.0102517,4612.39,0.000310158,0.207165,3.025429928695e-02
1,0.06,9,800,0.00953906,4837.04,0.000310103,0.223339,3.250875872465e-02
1,0.06,10,900,0.0103038,4995.85,0.000310122,0.204019,3.009782798579e-02
1,0.07,1,0,0.0104444,4587.13,0.000310164,0.203459,2.969667956034e-02
1,0.07,2,100,0.00924045,4931.07,0.000310066,0.228818,3.355529222062e-02
1,0.07,3,200,0.00974089,4528.36,0.000310092,0.216776,3.183405212460e-02
1,0.07,4,300,0.00991797,4640.2,0.000310131,0.213904,3.126960456626e-02
1,0.07,5,400,0.00945312,4389.07,0.000310087,0.225606,3.280260908568e-02
1,0.07,6,500,0.00960286,4879.37,0.000310119,0.220499,3.229444144765e-02
1,0.07,7,600,0.0102483,4617.98,0.000310069,0.20738,3.025565215694e-02
1,0.07,8,700,0.00888108,4787.71,0.00031003,0.237925,3.490904259392e-02
1,0.07,9,800,0.00884852,5095.73,0.000310065,0.240217,3.504145325998e-02
1,0.07,10,900,0.00972179,4614.53,0.0003101,0.219298,3.189741806807e-02
1,0.09,1,0,0.00997222,4520.61,0.000310146,0.213864,3.110099857404e-02
