VC,PIR,Run,Throughput_flits_cycle_IP,Delay_cycles,Energy_J,Wireless_Utilization
8,0.01,1,0.076549,1705.01,0.000242599,0
8,0.01,2,0.0788329,1624.93,0.000242809,0
8,0.01,3,0.0777726,1707.89,0.000242699,0
8,0.01,4,0.0781393,1681.99,0.000242766,0
8,0.01,5,0.0775911,1729.37,0.000242699,0
8,0.01,6,0.0778286,1635.63,0.000242717,0
8,0.01,7,0.0785751,1651.84,0.000242773,0
8,0.01,8,0.0776853,1654.67,0.000242772,0
8,0.01,9,0.0786441,1629.42,0.000242762,0
8,0.01,10,0.0790317,1639.24,0.000242846,0
8,0.02,1,0.0790217,3434.27,0.000242949,0
8,0.02,2,0.0782565,3463.2,0.00024287,0
8,0.02,3,0.0784375,3504.34,0.000242863,0
8,0.02,4,0.0782027,3478.12,0.000242922,0
8,0.02,5,0.0772626,3470.49,0.000242788,0
8,0.02,6,0.0776602,3466.75,0.000242812,0
8,0.02,7,0.078724,3483.41,0.000242896,0
8,0.02,8,0.0785273,3434.85,0.000242885,0
8,0.02,9,0.0782231,3468.51,0.000242847,0
8,0.02,10,0.0797808,3470.92,0.000243003,0
8,0.03,1,0.0773064,4171.69,0.000242867,0
8,0.03,2,0.0788229,4144.11,0.000242902,0
8,0.03,3,0.0770417,4157.99,0.000242816,0
8,0.03,4,0.0778607,4152.14,0.000242862,0
8,0.03,5,0.0781402,4191,0.000242876,0
8,0.03,6,0.0780738,4211.54,0.000242835,0
8,0.03,7,0.0779167,4192.3,0.000242832,0
8,0.03,8,0.0750582,4232.59,0.000242627,0
8,0.03,9,0.0782869,4171.61,0.000242877,0
8,0.03,10,0.077964,4196.71,0.000242839,0
8,0.04,1,0.0779961,4479.4,0.0002429,0
8,0.04,2,0.079625,4479.11,0.000242994,0
8,0.04,3,0.0784774,4464.07,0.00024295,0
8,0.04,4,0.0793776,4500.13,0.000242946,0
8,0.04,5,0.0776128,4512.05,0.000242837,0
8,0.04,6,0.0753438,4487.63,0.000242638,0
8,0.04,7,0.0773012,4490.65,0.00024285,0
8,0.04,8,0.0790747,4495.77,0.000242979,0
8,0.04,9,0.0773381,4499.39,0.000242801,0
8,0.04,10,0.0778242,4474.46,0.000242906,0
8,0.05,1,0.0774905,4675.54,0.000242807,0
8,0.05,2,0.07698,4754.33,0.000242744,0
8,0.05,3,0.0798125,4677.54,0.000243021,0
8,0.05,4,0.0782274,4728.48,0.000242882,0
8,0.05,5,0.077207,4638.69,0.000242821,0
8,0.05,6,0.0780543,4667.31,0.000242855,0
8,0.05,7,0.0785321,4674.96,0.00024299,0
8,0.05,8,0.0785881,4675.46,0.000242942,0
8,0.05,9,0.0770161,4687.59,0.000242789,0
8,0.05,10,0.0785885,4718.02,0.000242946,0
8,0.06,1,0.0774518,4800.26,0.000242825,0
8,0.06,2,0.078941,4797.44,0.0002429,0
8,0.06,3,0.0784891,4814.27,0.000242877,0
8,0.06,4,0.0773832,4810.62,0.000242859,0
8,0.06,5,0.0775634,4857.28,0.000242855,0
8,0.06,6,0.0779345,4841.2,0.000242869,0
8,0.06,7,0.0781753,4783.54,0.000242883,0
8,0.06,8,0.0794709,4833.28,0.000242967,0
8,0.06,9,0.0785165,4884.11,0.000242888,0
8,0.06,10,0.0793945,4832.44,0.000243045,0
8,0.07,1,0.0776181,4899.12,0.000242782,0
8,0.07,2,0.0778737,4898.68,0.000242877,0
8,0.07,3,0.0787348,4897.5,0.000242924,0
8,0.07,4,0.0775499,4934.64,0.000242854,0
8,0.07,5,0.0789961,4896.5,0.000242911,0
8,0.07,6,0.077372,4956.08,0.000242792,0
8,0.07,7,0.0792648,4883.73,0.000242936,0
8,0.07,8,0.0766345,4943.71,0.000242786,0
8,0.07,9,0.0786055,4920.54,0.000242911,0
8,0.07,10,0.0792088,4947.73,0.000242954,0
8,0.08,1,0.0762556,5015.95,0.000242642,0
8,0.08,2,0.0771398,5000.7,0.000242828,0
8,0.08,3,0.0794388,4956.89,0.000243027,0
8,0.08,4,0.077566,4987.58,0.000242781,0
8,0.08,5,0.0790707,4980.26,0.000242983,0
8,0.08,6,0.0758511,4938.73,0.000242674,0
8,0.08,7,0.077931,4959.51,0.000242891,0
8,0.08,8,0.0785473,4952.52,0.000242909,0
8,0.08,9,0.0773043,4989.2,0.000242858,0
8,0.08,10,0.0788069,4951.37,0.00024297,0
8,0.09,1,0.0788503,5056.66,0.000242899,0
8,0.09,2,0.0792127,5047.7,0.000242972,0
8,0.09,3,0.0780538,5066.63,0.000242829,0
8,0.09,4,0.0773351,5095.85,0.000242804,0
8,0.09,5,0.0782778,5074.19,0.000242841,0
8,0.09,6,0.0779622,5016.77,0.000242896,0
8,0.09,7,0.0798394,5040.46,0.000243051,0
8,0.09,8,0.0775139,5108.81,0.000242882,0
8,0.09,9,0.0776949,5072.55,0.000242897,0
8,0.09,10,0.0774484,5073.61,0.000242858,0
8,0.10,1,0.0782287,5079.16,0.000242906,0
8,0.10,2,0.0786545,5032.51,0.000242917,0
8,0.10,3,0.0793012,5099.74,0.000243027,0
8,0.10,4,0.0785699,5080.69,0.000242928,0
8,0.10,5,0.0783598,5097.98,0.000242912,0
8,0.10,6,0.079099,5061.15,0.000242998,0
8,0.10,7,0.0778954,5045.78,0.000242851,0
8,0.10,8,0.0777088,5088.77,0.000242786,0
8,0.10,9,0.0768216,5025.74,0.000242732,0
8,0.10,10,0.0782487,5057.83,0.000242861,0
