VC,PIR,Run,Throughput_flits_cycle_IP,Delay_cycles,Energy_J,Wireless_Utilization
8,0.1,1,0.0388859,5209.89,0.000241571,0
8,0.1,2,0.0377613,5126.53,0.000241404,0
8,0.1,3,0.0385174,5109.82,0.000241581,0
8,0.1,4,0.0379262,5100.8,0.000241424,0
8,0.1,5,0.038987,5168.3,0.000241614,0
8,0.1,6,0.038464,5056.53,0.000241558,0
8,0.1,7,0.038885,5108.62,0.000241616,0
8,0.1,8,0.0393407,5172.85,0.000241645,0
8,0.1,9,0.0400404,5194.17,0.000241788,0
8,0.1,10,0.039125,5108.71,0.000241645,0
8,0.2,1,0.0390838,5275.43,0.000241642,0
8,0.2,2,0.0392244,5317.86,0.000241652,0
8,0.2,3,0.0386793,5201.42,0.000241525,0
8,0.2,4,0.039625,5251.53,0.000241682,0
8,0.2,5,0.03949,5325.83,0.000241709,0
8,0.2,6,0.0381814,5273.61,0.0002415,0
8,0.2,7,0.0390924,5202.93,0.000241587,0
8,0.2,8,0.038832,5182.4,0.000241594,0
8,0.2,9,0.0388941,5221.99,0.000241581,0
8,0.2,10,0.0389175,5284.62,0.000241602,0
8,0.3,1,0.0390451,5283.59,0.000241641,0
8,0.3,2,0.0395747,5320.54,0.000241678,0
8,0.3,3,0.0383316,5257.34,0.000241529,0
8,0.3,4,0.0385829,5372.13,0.000241516,0
8,0.3,5,0.0391649,5335.88,0.000241629,0
8,0.3,6,0.0392426,5312.2,0.000241653,0
8,0.3,7,0.0370065,5193.98,0.000241357,0
8,0.3,8,0.0383867,5217.65,0.000241477,0
8,0.3,9,0.039546,5259.53,0.000241686,0
8,0.3,10,0.038697,5331.08,0.000241561,0
8,0.4,1,0.0380447,5218.44,0.000241483,0
8,0.4,2,0.0377561,5297.8,0.000241445,0
8,0.4,3,0.0386072,5339.55,0.000241535,0
8,0.4,4,0.0398064,5302.18,0.000241743,0
8,0.4,5,0.0377005,5251.17,0.000241414,0
8,0.4,6,0.0391293,5352.7,0.00024162,0
8,0.4,7,0.0370165,5344.58,0.00024133,0
8,0.4,8,0.0386771,5319.39,0.000241593,0
8,0.4,9,0.0390204,5351.87,0.000241645,0
8,0.4,10,0.0384193,5283.62,0.000241529,0
8,0.5,1,0.0382982,5293.86,0.000241517,0
8,0.5,2,0.03802,5243.13,0.000241477,0
8,0.5,3,0.039105,5314.03,0.000241625,0
8,0.5,4,0.0385994,5401.7,0.000241537,0
8,0.5,5,0.0374709,5352.19,0.000241391,0
8,0.5,6,0.0392643,5198.53,0.000241648,0
8,0.5,7,0.0382387,5216.68,0.000241497,0
8,0.5,8,0.0388086,5300.38,0.000241604,0
8,0.5,9,0.0396784,5365.3,0.000241729,0
8,0.5,10,0.038309,5302.25,0.000241508,0
8,0.6,1,0.0383993,5233.6,0.000241501,0
8,0.6,2,0.0386667,5337.02,0.000241561,0
8,0.6,3,0.0405968,5342.26,0.000241838,0
8,0.6,4,0.0392717,5407.15,0.000241649,0
8,0.6,5,0.0384375,5352.54,0.000241544,0
8,0.6,6,0.0386649,5349.75,0.000241564,0
8,0.6,7,0.0379653,5246.53,0.000241497,0
8,0.6,8,0.0371319,5262.06,0.00024136,0
8,0.6,9,0.03826,5376.75,0.000241496,0
8,0.6,10,0.0401029,5402.17,0.000241768,0
8,0.7,1,0.0389084,5391.14,0.00024163,0
8,0.7,2,0.0388446,5382.23,0.000241595,0
8,0.7,3,0.0379453,5304.54,0.000241456,0
8,0.7,4,0.0370586,5386.01,0.000241346,0
8,0.7,5,0.0383121,5276.37,0.000241572,0
8,0.7,6,0.0379878,5339.24,0.000241442,0
8,0.7,7,0.0362587,5293.89,0.000241252,0
8,0.7,8,0.0387201,5347.76,0.000241534,0
8,0.7,9,0.0379735,5353.57,0.000241452,0
8,0.7,10,0.0373811,5359.2,0.000241399,0
8,0.8,1,0.0390911,5410.61,0.000241635,0
8,0.8,2,0.0401124,5415.57,0.000241766,0
8,0.8,3,0.0380729,5305.31,0.000241514,0
8,0.8,4,0.0387183,5299.32,0.000241585,0
8,0.8,5,0.0381289,5301.52,0.000241483,0
8,0.8,6,0.0382296,5380.09,0.000241525,0
8,0.8,7,0.0363867,5310.68,0.000241241,0
8,0.8,8,0.0375625,5331.12,0.000241431,0
8,0.8,9,0.0379201,5401.71,0.000241433,0
8,0.8,10,0.039013,5280.23,0.000241648,0
8,0.9,1,0.0364783,5290.06,0.000241275,0
8,0.9,2,0.0384566,5296.41,0.000241575,0
8,0.9,3,0.0393177,5293.82,0.000241636,0
8,0.9,4,0.039546,5346.14,0.000241707,0
8,0.9,5,0.0386793,5325.9,0.00024158,0
8,0.9,6,0.0374865,5246,0.000241412,0
8,0.9,7,0.0396875,5310.32,0.000241718,0
8,0.9,8,0.0392739,5335.83,0.000241647,0
8,0.9,9,0.0381563,5365.96,0.000241515,0
8,0.9,10,0.0386398,5414.81,0.000241594,0
8,1.0,1,0.0401293,5331.4,0.000241784,0
8,1.0,2,0.0379935,5305.13,0.000241481,0
8,1.0,3,0.0381905,5370.45,0.000241489,0
8,1.0,4,0.0382613,5289.4,0.000241515,0
8,1.0,5,0.0378181,5343.22,0.000241447,0
8,1.0,6,0.0391623,5268.31,0.000241662,0
8,1.0,7,0.0391441,5428.76,0.000241628,0
8,1.0,8,0.0379293,5382.51,0.0002415,0
8,1.0,9,0.0389857,5297.82,0.000241648,0
8,1.0,10,0.0370521,5263.02,0.000241394,0
