Channels,PIR,Avg_Throughput_flits_cycle_IP,Avg_Delay_cycles,Avg_Energy_J,Avg_Wireless_Utilization,Avg_Energy_per_Throughput,Valid_Runs
1,0.01,1.0621836000e-02,3586.32100000,3.100893000000e-04,2.0063670000e-01,2.933140277331e-02,10
1,0.03,9.8240030000e-03,4602.48900000,3.101047000000e-04,2.1609560000e-01,3.161669559044e-02,10
1,0.04,9.9055240000e-03,4727.69900000,3.101024000000e-04,2.1501430000e-01,3.144575894249e-02,10
1,0.06,1.0096130000e-02,4801.20300000,3.101253000000e-04,2.0980790000e-01,3.075012409559e-02,10
1,0.07,9.6099380000e-03,4707.11500000,3.100923000000e-04,2.2138820000e-01,3.235562450841e-02,10
1,0.09,9.9024840000e-03,4797.69500000,3.101158000000e-04,2.1520070000e-01,3.135685969245e-02,10
4,0.01,4.4961030000e-02,2406.42200000,4.521077000000e-04,1.8462320000e-01,1.006680160314e-02,10
4,0.03,4.4133500000e-02,4169.17600000,4.521555000000e-04,1.8825040000e-01,1.025338458789e-02,10
4,0.04,4.4552570000e-02,4378.18300000,4.521871000000e-04,1.8631470000e-01,1.015436197220e-02,10
4,0.06,4.3505860000e-02,4641.53200000,4.520771000000e-04,1.9072180000e-01,1.040481580080e-02,10
4,0.07,4.3675170000e-02,4693.31700000,4.521006000000e-04,1.8997720000e-01,1.036448736279e-02,10
4,0.09,4.4304380000e-02,4749.02800000,4.521552000000e-04,1.8711650000e-01,1.021588061165e-02,10
8,0.01,7.9670350000e-02,1554.51700000,6.395518000000e-04,1.9404590000e-01,8.029046152545e-03,10
8,0.03,7.9762150000e-02,4078.83700000,6.399013000000e-04,1.9630040000e-01,8.023119181293e-03,10
8,0.04,7.9972520000e-02,4434.97800000,6.398718000000e-04,1.9527530000e-01,8.002085118734e-03,10
8,0.06,7.9569230000e-02,4777.79700000,6.398349000000e-04,1.9592680000e-01,8.042280658574e-03,10
8,0.07,7.8997780000e-02,4859.85400000,6.397417000000e-04,1.9656050000e-01,8.099178111600e-03,10
8,0.09,7.9755020000e-02,4997.80900000,6.398053000000e-04,1.9468350000e-01,8.022907445501e-03,10
12,0.01,8.3271020000e-02,1402.94900000,8.199386000000e-04,2.1131720000e-01,9.849560247606e-03,10
12,0.03,8.3215400000e-02,4022.28200000,8.202786000000e-04,2.1434950000e-01,9.861098930139e-03,10
12,0.04,8.2513020000e-02,4387.98300000,8.200496000000e-04,2.1385450000e-01,9.941057167022e-03,10
12,0.06,8.3011330000e-02,4739.89400000,8.201872000000e-04,2.1347520000e-01,9.882257968710e-03,10
12,0.07,8.3146710000e-02,4854.12500000,8.201831000000e-04,2.1323650000e-01,9.865089918788e-03,10
12,0.09,8.2710190000e-02,5006.05700000,8.201081000000e-04,2.1357580000e-01,9.916809088305e-03,10
16,0.01,8.2730720000e-02,1410.89100000,9.979881000000e-04,2.1193380000e-01,1.206438104775e-02,10
16,0.03,8.2311150000e-02,4019.75000000,9.983143000000e-04,2.1542730000e-01,1.213221747967e-02,10
16,0.04,8.2813010000e-02,4405.54000000,9.984525000000e-04,2.1547790000e-01,1.205795165853e-02,10
16,0.06,8.3267130000e-02,4733.08800000,9.987245000000e-04,2.1737300000e-01,1.199891952367e-02,10
16,0.07,8.3098530000e-02,4855.70300000,9.984811000000e-04,2.1467420000e-01,1.201789407720e-02,10
16,0.09,8.3243190000e-02,4983.97900000,9.986300000000e-04,2.1625910000e-01,1.199848220988e-02,10
