VC,PIR,Run,Throughput_flits_cycle_IP,Delay_cycles,Energy_J,Wireless_Utilization
8,0.001,1,0.0116688,25.7642,0.000236067,0
8,0.001,2,0.0116055,25.4926,0.000236053,0
8,0.001,3,0.011944,25.3743,0.000236088,0
8,0.001,4,0.0122266,25.5857,0.000236117,0
8,0.001,5,0.0124145,26.0848,0.000236147,0
8,0.001,6,0.012112,25.8082,0.000236113,0
8,0.001,7,0.0116784,25.295,0.000236072,0
8,0.001,8,0.011954,25.7913,0.000236122,0
8,0.001,9,0.0121029,25.9092,0.00023611,0
8,0.001,10,0.0123898,25.6695,0.000236132,0
8,0.01,1,0.076549,1705.01,0.000242599,0
8,0.01,2,0.0788329,1624.93,0.000242809,0
8,0.01,3,0.0777726,1707.89,0.000242699,0
8,0.01,4,0.0781393,1681.99,0.000242766,0
8,0.01,5,0.0775911,1729.37,0.000242699,0
8,0.01,6,0.0778286,1635.63,0.000242717,0
8,0.01,7,0.0785751,1651.84,0.000242773,0
8,0.01,8,0.0776853,1654.67,0.000242772,0
8,0.01,9,0.0786441,1629.42,0.000242762,0
8,0.01,10,0.0790317,1639.24,0.000242846,0
8,0.1,1,0.0782287,5079.16,0.000242906,0
8,0.1,2,0.0786545,5032.51,0.000242917,0
8,0.1,3,0.0793012,5099.74,0.000243027,0
8,0.1,4,0.0785699,5080.69,0.000242928,0
8,0.1,5,0.0783598,5097.98,0.000242912,0
8,0.1,6,0.079099,5061.15,0.000242998,0
8,0.1,7,0.0778954,5045.78,0.000242851,0
8,0.1,8,0.0777088,5088.77,0.000242786,0
8,0.1,9,0.0768216,5025.74,0.000242732,0
8,0.1,10,0.0782487,5057.83,0.000242861,0
8,1.0,1,0.0769822,5455.69,0.000242815,0
8,1.0,2,0.0795117,5456.7,0.000243034,0
8,1.0,3,0.0783129,5424.49,0.000242926,0
8,1.0,4,0.0788333,5482.13,0.000242906,0
8,1.0,5,0.0771228,5429.27,0.000242796,0
8,1.0,6,0.0761415,5491.89,0.000242688,0
8,1.0,7,0.0782682,5506.58,0.000242819,0
8,1.0,8,0.078668,5439.41,0.000242985,0
8,1.0,9,0.0786133,5411.54,0.000242904,0
8,1.0,10,0.0775898,5422.29,0.000242848,0
