VC,PIR,Run,Throughput_flits_cycle_IP,Delay_cycles,Energy_J,Wireless_Utilization
8,0.1,1,0.0782287,5079.16,0.000242906,0
8,0.1,2,0.0786545,5032.51,0.000242917,0
8,0.1,3,0.0793012,5099.74,0.000243027,0
8,0.1,4,0.0785699,5080.69,0.000242928,0
8,0.1,5,0.0783598,5097.98,0.000242912,0
8,0.1,6,0.079099,5061.15,0.000242998,0
8,0.1,7,0.0778954,5045.78,0.000242851,0
8,0.1,8,0.0777088,5088.77,0.000242786,0
8,0.1,9,0.0768216,5025.74,0.000242732,0
8,0.1,10,0.0782487,5057.83,0.000242861,0
8,0.2,1,0.0790534,5293.33,0.000242944,0
8,0.2,2,0.076924,5276.8,0.00024275,0
8,0.2,3,0.07875,5296.33,0.00024299,0
8,0.2,4,0.0777504,5250.05,0.000242868,0
8,0.2,5,0.0785464,5333.07,0.000242969,0
8,0.2,6,0.0791011,5253.39,0.000243012,0
8,0.2,7,0.0781007,5252.61,0.000242898,0
8,0.2,8,0.0785738,5333.92,0.000242869,0
8,0.2,9,0.0778372,5307.72,0.000242802,0
8,0.2,10,0.0785417,5285.04,0.000242924,0
8,0.3,1,0.0779635,5339.37,0.000242869,0
8,0.3,2,0.077053,5315.48,0.000242824,0
8,0.3,3,0.0766753,5395.49,0.000242818,0
8,0.3,4,0.0779874,5318.94,0.000242868,0
8,0.3,5,0.0775516,5377.19,0.000242826,0
8,0.3,6,0.0791228,5364.59,0.000242943,0
8,0.3,7,0.0783116,5364.79,0.000242879,0
8,0.3,8,0.0778329,5323.84,0.000242822,0
8,0.3,9,0.0783043,5386.92,0.000242869,0
8,0.3,10,0.0794978,5387.93,0.000242953,0
8,0.4,1,0.0776272,5375.44,0.000242858,0
8,0.4,2,0.0784084,5412.7,0.000242904,0
8,0.4,3,0.0784722,5329.24,0.000242945,0
8,0.4,4,0.0787552,5385.53,0.000242861,0
8,0.4,5,0.0780056,5379.36,0.000242903,0
8,0.4,6,0.0783273,5430.34,0.000242884,0
8,0.4,7,0.07752,5407.24,0.00024288,0
8,0.4,8,0.0764301,5366.4,0.000242726,0
8,0.4,9,0.0785764,5383.51,0.000242935,0
8,0.4,10,0.0780729,5391.65,0.000242885,0
8,0.5,1,0.0790165,5399.88,0.000242947,0
8,0.5,2,0.0799097,5390.18,0.000243013,0
8,0.5,3,0.0776988,5409.64,0.000242871,0
8,0.5,4,0.0772287,5365.8,0.000242764,0
8,0.5,5,0.0793008,5416.51,0.000242922,0
8,0.5,6,0.079661,5396.97,0.00024301,0
8,0.5,7,0.0779366,5423.56,0.00024283,0
8,0.5,8,0.0778707,5398.33,0.000242815,0
8,0.5,9,0.0785924,5435.76,0.000242907,0
8,0.5,10,0.0774006,5414.53,0.000242825,0
8,0.6,1,0.078987,5435.12,0.000242992,0
8,0.6,2,0.0773772,5437.47,0.000242773,0
8,0.6,3,0.0784375,5418.94,0.000242953,0
8,0.6,4,0.0792036,5427.51,0.000242913,0
8,0.6,5,0.0782166,5445.88,0.000242864,0
8,0.6,6,0.0778898,5421.34,0.000242877,0
8,0.6,7,0.076691,5411.58,0.0002428,0
8,0.6,8,0.0785078,5433.12,0.000242905,0
8,0.6,9,0.0775621,5426.08,0.000242872,0
8,0.6,10,0.079122,5426.5,0.000243004,0
8,0.7,1,0.0781089,5399.7,0.000242848,0
8,0.7,2,0.0775964,5421.9,0.00024284,0
8,0.7,3,0.0776866,5433.46,0.000242897,0
8,0.7,4,0.0797556,5443.77,0.000243057,0
8,0.7,5,0.0778021,5437.59,0.000242831,0
8,0.7,6,0.0784232,5457.65,0.000242888,0
8,0.7,7,0.0786263,5426.89,0.000242906,0
8,0.7,8,0.0793225,5407.98,0.000242975,0
8,0.7,9,0.0768273,5407.56,0.000242744,0
8,0.7,10,0.078543,5441.44,0.000242909,0
8,0.8,1,0.079451,5448.73,0.000243024,0
8,0.8,2,0.0789084,5451.63,0.00024292,0
8,0.8,3,0.0779926,5465.83,0.000242861,0
8,0.8,4,0.0781862,5422.34,0.000242917,0
8,0.8,5,0.0770586,5453.31,0.000242758,0
8,0.8,6,0.0779527,5432.11,0.000242891,0
8,0.8,7,0.0776732,5388.46,0.000242823,0
8,0.8,8,0.0793411,5446.39,0.000243019,0
8,0.8,9,0.077954,5468.88,0.000242909,0
8,0.8,10,0.0767118,5445.04,0.000242756,0
8,0.9,1,0.0784878,5438.64,0.000242883,0
8,0.9,2,0.0768372,5493.42,0.000242779,0
8,0.9,3,0.0789175,5469.52,0.000242985,0
8,0.9,4,0.0769952,5473.63,0.000242741,0
8,0.9,5,0.0780851,5477.63,0.000242862,0
8,0.9,6,0.0779666,5413.11,0.000242888,0
8,0.9,7,0.079362,5430,0.000243011,0
8,0.9,8,0.0785056,5524.95,0.000242928,0
8,0.9,9,0.0783229,5438.33,0.000242882,0
8,0.9,10,0.0800239,5459.87,0.000243032,0
8,1.0,1,0.0769822,5455.69,0.000242815,0
8,1.0,2,0.0795117,5456.7,0.000243034,0
8,1.0,3,0.0783129,5424.49,0.000242926,0
8,1.0,4,0.0788333,5482.13,0.000242906,0
8,1.0,5,0.0771228,5429.27,0.000242796,0
8,1.0,6,0.0761415,5491.89,0.000242688,0
8,1.0,7,0.0782682,5506.58,0.000242819,0
8,1.0,8,0.078668,5439.41,0.000242985,0
8,1.0,9,0.0786133,5411.54,0.000242904,0
8,1.0,10,0.0775898,5422.29,0.000242848,0
