VC,PIR,Avg_Total_Received_Packets,Avg_Received_Ideal_Flits_Ratio,Avg_Energy_J,Valid_Runs
8,0.001,2293.30000000,.99525500,.0006214296,10
8,0.002,4605.30000000,.99921980,.0006246499,10
8,0.003,6889.30000000,.99667580,.0006278970,10
8,0.004,9150.00000000,.99294630,.0006311609,10
8,0.005,11502.50000000,.99832810,.0006343460,10
8,0.006,13750.80000000,.99449210,.0006372678,10
8,0.007,15072.50000000,.93425300,.0006388365,10
8,0.008,15323.00000000,.83176530,.0006393202,10
8,0.009,15327.10000000,.73957810,.0006395020,10
8,0.01,15282.10000000,.66391970,.0006395518,10
