VC,PIR,Avg_IP_Throughput_flits_cycle_IP,Avg_Global_Avg_Delay_cycles,Avg_Total_Energy_J,Valid_Runs
1,0.050,3.7196390000e-02,4801.439000,9.6612410000e-05,10
1,0.060,3.7078170000e-02,4909.045000,9.6535530000e-05,10
1,0.070,3.7025210000e-02,5019.652000,9.6579740000e-05,10
1,0.080,3.6791450000e-02,5088.079000,9.6471220000e-05,10
1,0.090,3.7403070000e-02,5136.511000,9.6781860000e-05,10
1,0.100,3.6954250000e-02,5153.025000,9.6539910000e-05,10
1,0.020,3.7242050000e-02,3917.834000,9.6725550000e-05,10
1,0.030,3.7386400000e-02,4419.559000,9.6676290000e-05,10
1,0.040,3.7542830000e-02,4623.706000,9.6727200000e-05,10
