VC,PIR,Run,Avg_IP_Throughput_flits_cycle_IP,Global_Avg_Delay_cycles,Total_Energy_J
4,0.003,4,0.0356771,37.0448,0.000321445
4,0.003,5,0.0360872,37.4235,0.000321739
4,0.003,6,0.0365117,38.6188,0.000322143
4,0.003,7,0.0359353,37.7457,0.00032195
4,0.003,8,0.0358468,37.9119,0.000321859
4,0.003,9,0.0361593,39.0193,0.000322006
4,0.003,10,0.0360273,37.9829,0.000321654
4,0.004,1,0.0473967,48.8991,0.00032516
4,0.004,2,0.0473733,48.8257,0.000325084
4,0.004,3,0.0475573,48.2904,0.000325052
4,0.004,4,0.0475404,47.6524,0.000324617
4,0.004,5,0.0475282,49.4565,0.000325206
4,0.004,6,0.0483312,49.5711,0.000325215
4,0.004,7,0.0470838,46.983,0.000324739
4,0.004,8,0.047901,49.7289,0.000325465
4,0.004,9,0.048385,49.9608,0.00032534
4,0.004,10,0.0473442,49.0704,0.000325107
4,0.005,1,0.0593155,70.2392,0.000327853
4,0.005,2,0.0591918,71.4685,0.000328382
4,0.005,3,0.0606285,71.7798,0.000328388
4,0.005,4,0.0591901,69.9375,0.000327827
4,0.005,5,0.0592166,72.2765,0.00032829
4,0.005,6,0.0600477,73.0918,0.000328204
4,0.005,7,0.0591441,70.5641,0.000328355
4,0.005,8,0.0592595,72.3968,0.000328373
4,0.005,9,0.0598828,70.2129,0.000327942
4,0.005,10,0.0606185,71.1516,0.000328273
4,0.006,1,0.0715082,124.781,0.000331035
4,0.006,2,0.0715495,135.051,0.000331342
4,0.006,3,0.0716458,135.005,0.000331263
4,0.006,4,0.0713177,133.462,0.00033125
4,0.006,5,0.0720291,147.539,0.00033152
4,0.006,6,0.0705959,144.859,0.000331369
4,0.006,7,0.0712201,122.91,0.00033108
4,0.006,8,0.070928,126.662,0.00033107
4,0.006,9,0.0721714,125.781,0.000330878
4,0.006,10,0.0726493,133.364,0.000331418
4,0.007,1,0.0791771,374.304,0.000333086
