VC,PIR,Run,Avg_IP_Throughput_flits_cycle_IP,Global_Avg_Delay_cycles,Total_Energy_J
4,0.002,10,0.0240135,58.8315,0.000320794
4,0.003,1,0.0344674,245.114,0.000324189
4,0.003,2,0.0332791,322.613,0.000324337
4,0.003,3,0.0351233,259.714,0.000324983
4,0.003,4,0.0324175,436.672,0.00032385
4,0.003,5,0.03402,288.63,0.000324553
4,0.003,6,0.0344301,256.148,0.000324551
4,0.003,7,0.0342201,320.664,0.000324428
4,0.003,8,0.0320603,276.856,0.000323841
4,0.003,9,0.0344349,244.317,0.000324779
4,0.003,10,0.0334306,343.219,0.000324433
4,0.004,1,0.0362409,879.887,0.000325986
4,0.004,2,0.0361441,847.568,0.000325914
4,0.004,3,0.0370139,763.644,0.000326183
4,0.004,4,0.0343754,1080.17,0.000325137
4,0.004,5,0.0365938,900.837,0.000325845
4,0.004,6,0.0366337,840.484,0.000326241
4,0.004,7,0.0353841,893.287,0.000325358
4,0.004,8,0.0361793,1000.65,0.000325796
4,0.004,9,0.0355924,852.792,0.00032576
4,0.004,10,0.035115,937.091,0.000325556
4,0.005,1,0.0347843,1371.38,0.000325497
4,0.005,2,0.0352813,1222.16,0.000325575
4,0.005,3,0.0361289,1457.65,0.000326204
4,0.005,4,0.0369696,1404.54,0.00032646
4,0.005,5,0.0352973,1371.95,0.000325887
4,0.005,6,0.0373346,1319.47,0.000326419
4,0.005,7,0.0359674,1278.2,0.000326059
4,0.005,8,0.0344605,1576.02,0.000325365
4,0.005,9,0.0354805,1449.81,0.000326121
4,0.005,10,0.0343867,1566.81,0.000325478
4,0.006,1,0.0370221,1753.3,0.000326408
4,0.006,2,0.0348294,1890.51,0.000325588
4,0.006,3,0.0366979,1822.7,0.000326542
4,0.006,4,0.0354128,1820.75,0.000325765
4,0.006,5,0.0381918,1860.74,0.00032678
4,0.006,6,0.0351458,1897.3,0.000325856
4,0.006,7,0.0378694,1624.62,0.000327136
4,0.006,8,0.0346549,2001.97,0.000325638
4,0.006,9,0.0373798,1772,0.000326492
4,0.006,10,0.0367322,1817.21,0.000326415
4,0.007,1,0.0356133,2195.46,0.000326267
4,0.007,2,0.0377153,2132.18,0.000327043
4,0.007,3,0.035599,2145.99,0.000325994
4,0.007,4,0.0370451,2203.55,0.000326859
4,0.007,5,0.0356554,2065.12,0.00032606
4,0.007,6,0.0366324,2270.04,0.000326572
4,0.007,7,0.0366762,2133.69,0.000326599
4,0.007,8,0.0372014,2159.37,0.000326915
4,0.007,9,0.0360135,2186.64,0.000326284
4,0.007,10,0.0381172,2053.37,0.000327155
4,0.008,1,0.0371684,2362.86,0.000326488
4,0.008,2,0.0372409,2414.37,0.000326645
4,0.008,3,0.0376814,2231.36,0.000326556
4,0.008,4,0.0366098,2351.88,0.000326275
4,0.008,5,0.0383021,2426.16,0.000327092
4,0.008,6,0.0379978,2430.67,0.000326724
4,0.008,7,0.0359692,2371.9,0.00032644
4,0.008,8,0.0371389,2391.62,0.000326668
4,0.008,9,0.0368138,2541.75,0.000326545
4,0.008,10,0.0376102,2315.58,0.000326868
4,0.009,1,0.0377799,2659.35,0.000326866
4,0.009,2,0.0357561,2654.41,0.00032628
4,0.009,3,0.0346606,2563.73,0.000325977
4,0.009,4,0.0371523,2718.51,0.000326615
4,0.009,5,0.0363277,2892.58,0.000326412
4,0.009,6,0.0378594,2680.79,0.000326893
4,0.009,7,0.0377721,2750.65,0.000326817
4,0.009,8,0.0366319,2822.02,0.000326466
4,0.009,9,0.0398151,2622.15,0.000327895
4,0.009,10,0.037457,2669.43,0.000326768
4,0.01,1,0.0384457,2853.62,0.00032726
4,0.01,2,0.0376727,2743.67,0.000326815
4,0.01,3,0.0364141,2796.89,0.000326431
4,0.01,4,0.0376571,2803.54,0.000326822
4,0.01,5,0.0371037,2848.16,0.000326788
4,0.01,6,0.0377995,2853.9,0.000326788
4,0.01,7,0.036918,2810.92,0.000326935
4,0.01,8,0.0364427,2997,0.000326325
4,0.01,9,0.0365404,3034.78,0.000326852
4,0.01,10,0.0375243,2730.03,0.000326751
8,0.001,1,0.011977,42.6816,0.000622313
8,0.001,2,0.0116853,42.5267,0.000622212
8,0.001,3,0.0118772,43.3608,0.000622463
8,0.001,4,0.0121137,43.0629,0.000622425
8,0.001,5,0.0120673,43.1839,0.00062255
8,0.001,6,0.011931,43.0852,0.000622384
8,0.001,7,0.011638,42.4783,0.000622571
8,0.001,8,0.0118728,43.2866,0.000622581
8,0.001,9,0.0121124,43.3141,0.000622401
8,0.001,10,0.0124683,42.7841,0.000622623
8,0.002,1,0.0242582,57.1609,0.000626913
8,0.002,2,0.0235512,55.8875,0.000626548
8,0.002,3,0.0240317,56.6839,0.000626638
8,0.002,4,0.0240217,57.3187,0.000626715
8,0.002,5,0.0236719,55.3412,0.00062678
8,0.002,6,0.0243008,61.6572,0.00062709
8,0.002,7,0.0240634,61.2645,0.000627065
8,0.002,8,0.0236944,58.9758,0.000626798
8,0.002,9,0.0244896,56.7848,0.000627082
8,0.002,10,0.0236324,55.4764,0.000626765
8,0.003,1,0.0329874,306.241,0.000630166
8,0.003,2,0.0337305,264.607,0.00063059
8,0.003,3,0.0336011,283.789,0.000630579
8,0.003,4,0.031717,324.045,0.000630132
8,0.003,5,0.0331853,353.5,0.000630709
8,0.003,6,0.0340087,297.248,0.000630838
8,0.003,7,0.0334779,285.812,0.000630309
8,0.003,8,0.0322587,405.355,0.000630167
8,0.003,9,0.0338451,219.122,0.000630555
8,0.003,10,0.0333711,346.552,0.00063057
8,0.004,1,0.0356832,742.576,0.000631709
8,0.004,2,0.0356272,753.606,0.000631668
8,0.004,3,0.0357565,882.285,0.000631633
8,0.004,4,0.0358872,874.786,0.00063196
8,0.004,5,0.0345247,872.817,0.000631644
8,0.004,6,0.0345608,810.266,0.000631562
8,0.004,7,0.035487,835.076,0.000631597
8,0.004,8,0.0355551,974.64,0.000631868
8,0.004,9,0.0341033,877.753,0.000631278
8,0.004,10,0.0351246,895.664,0.000631694
8,0.005,1,0.0345282,1426.95,0.000631682
8,0.005,2,0.0359301,1320.32,0.00063205
8,0.005,3,0.0361207,1353.35,0.000632405
8,0.005,4,0.0340052,1408.68,0.000631682
8,0.005,5,0.0350768,1342.45,0.000631932
8,0.005,6,0.0384119,1160.74,0.000633152
8,0.005,7,0.0348216,1280.74,0.000631993
8,0.005,8,0.0350221,1502.48,0.000631961
8,0.005,9,0.0358785,1404.28,0.000632301
8,0.005,10,0.0357526,1270.15,0.000632161
8,0.006,1,0.0382643,1564.5,0.000633074
8,0.006,2,0.0378333,1671.51,0.000633154
8,0.006,3,0.0362114,1682.45,0.000632504
8,0.006,4,0.0366819,1686.52,0.000632816
8,0.006,5,0.0379271,1578.61,0.00063309
8,0.006,6,0.0373155,1730.69,0.000633083
8,0.006,7,0.0359397,1670.04,0.00063214
8,0.006,8,0.0373646,1691.59,0.000632957
8,0.006,9,0.0365543,1473.28,0.000632613
8,0.006,10,0.0361623,1746.19,0.000632649
8,0.007,1,0.0372847,1929,0.000633202
8,0.007,2,0.038286,1896.03,0.000633277
8,0.007,3,0.036582,2119.46,0.000632612
8,0.007,4,0.0373958,2151.93,0.000632831
8,0.007,5,0.037418,2020.36,0.000633086
8,0.007,6,0.037796,1923.76,0.000632967
8,0.007,7,0.0369201,1992.31,0.00063264
8,0.007,8,0.0377205,1963.47,0.000632811
8,0.007,9,0.0373976,1991.12,0.000633019
8,0.007,10,0.0369614,2044.06,0.000632858
8,0.008,1,0.0381411,2331.21,0.000633225
8,0.008,2,0.0358715,2459.78,0.000632161
8,0.008,3,0.0381823,2317.17,0.000633234
8,0.008,4,0.0373628,2259.97,0.000632955
8,0.008,5,0.0379466,2248.18,0.00063306
8,0.008,6,0.037691,2249,0.000633218
8,0.008,7,0.0365959,2238.35,0.000632841
8,0.008,8,0.0381181,2275.4,0.000633236
8,0.008,9,0.0387999,2261.87,0.000633566
8,0.008,10,0.0374293,2241.74,0.000633136
8,0.009,1,0.0386233,2397.94,0.000633255
8,0.009,2,0.0385681,2503.88,0.000633512
8,0.009,3,0.0375043,2480.01,0.000632929
8,0.009,4,0.0375846,2503.55,0.000633077
8,0.009,5,0.0380712,2417.6,0.000633478
8,0.009,6,0.037451,2483.42,0.000633327
8,0.009,7,0.0378832,2548.29,0.000633085
8,0.009,8,0.0382617,2326.93,0.000633402
8,0.009,9,0.0384709,2564.63,0.000633421
8,0.009,10,0.0373299,2544.54,0.000633179
8,0.01,1,0.0371528,2665.32,0.000633004
8,0.01,2,0.0380174,2697.21,0.000633364
8,0.01,3,0.0402483,2574.81,0.000634112
8,0.01,4,0.0398954,2780.05,0.000633885
8,0.01,5,0.0383989,2446.78,0.000633343
8,0.01,6,0.0400425,2590.13,0.000634143
8,0.01,7,0.0393555,2602.69,0.000633811
8,0.01,8,0.03798,2818.85,0.000633154
8,0.01,9,0.0381324,2786.69,0.000633062
8,0.01,10,0.038576,2701.99,0.000633826
