VC,PIR,Run,Throughput_flits_cycle_IP,Delay_cycles,Energy_J,Wireless_Utilization
1,0.10,9,0.0376901,5256.79,9.67528e-05,0.255943
1,0.10,10,0.0357665,5188.09,9.62368e-05,0.261256
4,0.01,1,0.0384457,2853.62,0.00032726,0.268276
4,0.01,2,0.0376727,2743.67,0.000326815,0.262758
4,0.01,3,0.0364141,2796.89,0.000326431,0.266151
4,0.01,4,0.0376571,2803.54,0.000326822,0.264388
4,0.01,5,0.0371037,2848.16,0.000326788,0.268539
4,0.01,6,0.0377995,2853.9,0.000326788,0.260402
4,0.01,7,0.036918,2810.92,0.000326935,0.276028
4,0.01,8,0.0364427,2997,0.000326325,0.261486
4,0.01,9,0.0365404,3034.78,0.000326852,0.277802
4,0.01,10,0.0375243,2730.03,0.000326751,0.261855
4,0.02,1,0.0398086,3905.9,0.000327982,0.273429
4,0.02,2,0.0382131,3972.44,0.000327141,0.266294
4,0.02,3,0.0355434,4188.12,0.000326155,0.26406
4,0.02,4,0.0377925,4041.14,0.000326839,0.260744
4,0.02,5,0.0380577,4073.8,0.000327062,0.264831
4,0.02,6,0.0382418,4013.09,0.000327151,0.266776
4,0.02,7,0.0370855,3897.38,0.000326963,0.273597
4,0.02,8,0.0385855,4051.84,0.00032723,0.26436
4,0.02,9,0.0368064,4038.09,0.000326539,0.262613
4,0.02,10,0.0359319,3963.41,0.000326282,0.265777
4,0.03,1,0.0389015,4500.86,0.000327115,0.257935
4,0.03,2,0.0387839,4542.44,0.000327247,0.263306
4,0.03,3,0.0387656,4466.3,0.00032705,0.257665
4,0.03,4,0.0385217,4456.74,0.000327326,0.268352
4,0.03,5,0.0382752,4461.2,0.000327303,0.270535
4,0.03,6,0.0404874,4544.77,0.000327821,0.262073
4,0.03,7,0.0385712,4345.82,0.000326926,0.256015
4,0.03,8,0.0377313,4412.75,0.000326781,0.261711
4,0.03,9,0.0393355,4522.32,0.000327479,0.264725
4,0.03,10,0.0390352,4420.31,0.000327432,0.265723
4,0.04,1,0.0375182,4717.14,0.000326924,0.268557
4,0.04,2,0.037582,4849.26,0.000326668,0.258396
4,0.04,3,0.0372904,4740.63,0.000327037,0.272905
4,0.04,4,0.040003,4673.93,0.000327809,0.267475
4,0.04,5,0.0376354,4641.9,0.000326641,0.257471
4,0.04,6,0.0369961,4779.02,0.000326454,0.258727
4,0.04,7,0.038681,4748.55,0.000327312,0.265975
4,0.04,8,0.039158,4724.76,0.000327296,0.25992
4,0.04,9,0.0389028,4768.27,0.000327522,0.270448
4,0.04,10,0.0380612,4860.46,0.000327241,0.270836
4,0.05,1,0.0382461,4857.81,0.000327231,0.267493
4,0.05,2,0.0377917,4698.92,0.000326777,0.260036
4,0.05,3,0.0373481,4900.08,0.000326578,0.25733
4,0.05,4,0.038171,4958.03,0.000327066,0.264128
4,0.05,5,0.0402053,4879.39,0.000327878,0.266814
4,0.05,6,0.0372852,4853.01,0.000326394,0.25154
4,0.05,7,0.0371172,4950.88,0.000326333,0.252982
4,0.05,8,0.0376016,4834.64,0.000326937,0.267795
4,0.05,9,0.0381714,4929.99,0.000327358,0.271684
4,0.05,10,0.0381701,4746.08,0.000327295,0.270865
4,0.06,1,0.0376697,4940.88,0.000326443,0.251591
4,0.06,2,0.0375035,4912.47,0.00032685,0.265074
4,0.06,3,0.0385521,4868.41,0.000327247,0.265187
4,0.06,4,0.0378607,4940.6,0.000326716,0.256541
4,0.06,5,0.0397222,4928.15,0.000327841,0.269483
4,0.06,6,0.0370204,4989.4,0.000326916,0.271984
4,0.06,7,0.0375668,4989.5,0.000326868,0.265012
4,0.06,8,0.0369887,4974.66,0.000326653,0.264789
4,0.06,9,0.0372747,4997.25,0.0003265,0.257339
4,0.06,10,0.0368207,5023.69,0.000326462,0.261294
4,0.07,1,0.0365812,5083.04,0.000326563,0.267417
4,0.07,2,0.0384375,5054.09,0.000327298,0.268517
4,0.07,3,0.0388572,4933.5,0.000327219,0.261886
4,0.07,4,0.0384635,5153.42,0.000327374,0.26883
4,0.07,5,0.0363572,5087.22,0.000326581,0.270499
4,0.07,6,0.0382739,4930.27,0.000327338,0.272132
4,0.07,7,0.0378194,5100.24,0.000327079,0.267099
4,0.07,8,0.0389201,5047.6,0.000327325,0.263883
4,0.07,9,0.0378429,5065.9,0.00032717,0.270036
4,0.07,10,0.0388724,5053.67,0.000327596,0.272618
4,0.08,1,0.0375056,5165.09,0.000327007,0.269616
4,0.08,2,0.0378681,5074.1,0.000326825,0.260331
4,0.08,3,0.036299,4981.88,0.000326371,0.26315
4,0.08,4,0.0378043,5019.98,0.000326872,0.262578
4,0.08,5,0.0362027,5119.46,0.00032629,0.262028
4,0.08,6,0.0382383,5132.84,0.00032693,0.259239
4,0.08,7,0.0370165,5043.25,0.000326583,0.261378
4,0.08,8,0.0386918,5138.03,0.000327303,0.264393
4,0.08,9,0.0378003,5077.07,0.000327131,0.269432
4,0.08,10,0.0370538,5146.14,0.000326994,0.273815
4,0.09,1,0.0371732,5007.86,0.00032645,0.257671
4,0.09,2,0.0373116,5176.12,0.000326791,0.264196
4,0.09,3,0.0374336,4981.4,0.000326824,0.265525
4,0.09,4,0.0387391,5159.62,0.000327522,0.270954
4,0.09,5,0.03698,5071.18,0.000326686,0.265896
4,0.09,6,0.0379961,5211.9,0.000327308,0.274499
4,0.09,7,0.0375599,5098.95,0.000327206,0.273988
4,0.09,8,0.0387687,5150.67,0.000327097,0.258846
4,0.09,9,0.0389397,5128.48,0.000326904,0.252075
4,0.09,10,0.038806,5223.97,0.000327314,0.264868
4,0.10,1,0.0382995,5117.81,0.000327357,0.271502
4,0.10,2,0.0375425,5141.33,0.000326992,0.268916
4,0.10,3,0.0367569,5144.66,0.000326598,0.2638
4,0.10,4,0.0384783,5152.41,0.000326964,0.257763
4,0.10,5,0.0372179,5109.96,0.000326695,0.264323
4,0.10,6,0.0384944,5080.58,0.000327375,0.270252
4,0.10,7,0.0372122,5137.76,0.000326386,0.253361
4,0.10,8,0.0372773,4961.35,0.000326941,0.271127
4,0.10,9,0.0388707,5188.05,0.000327492,0.269767
4,0.10,10,0.0374405,5142.81,0.000326871,0.266184
8,0.01,1,0.0371528,2665.32,0.000633004,0.269772
8,0.01,2,0.0380174,2697.21,0.000633364,0.270991
8,0.01,3,0.0402483,2574.81,0.000634112,0.268251
8,0.01,4,0.0398954,2780.05,0.000633885,0.266492
8,0.01,5,0.0383989,2446.78,0.000633343,0.267176
8,0.01,6,0.0400425,2590.13,0.000634143,0.271102
8,0.01,7,0.0393555,2602.69,0.000633811,0.270227
8,0.01,8,0.03798,2818.85,0.000633154,0.264532
8,0.01,9,0.0381324,2786.69,0.000633062,0.260685
8,0.01,10,0.038576,2701.99,0.000633826,0.278689
8,0.02,1,0.0381341,3737.18,0.000633379,0.26841
8,0.02,2,0.037967,3852.27,0.000633252,0.265455
8,0.02,3,0.0382912,3691,0.0006334,0.266876
8,0.02,4,0.0367765,3858.16,0.000632637,0.260406
8,0.02,5,0.0388112,3845.33,0.00063337,0.260981
8,0.02,6,0.039457,3830.12,0.000633631,0.262376
8,0.02,7,0.0397322,3817.27,0.00063369,0.259824
8,0.02,8,0.0384952,3892.63,0.000633629,0.271975
8,0.02,9,0.0413932,3843.98,0.000634258,0.259722
8,0.02,10,0.0385681,3742.03,0.000633644,0.272456
8,0.03,1,0.0392886,4366.3,0.000633624,0.263102
8,0.03,2,0.0369336,4404.43,0.000633054,0.27247
8,0.03,3,0.0405803,4223.87,0.000634182,0.265639
8,0.03,4,0.0383134,4296.33,0.000633633,0.274141
8,0.03,5,0.0401688,4360.83,0.000634205,0.271544
8,0.03,6,0.04052,4253.99,0.000634293,0.270256
8,0.03,7,0.038944,4194.34,0.000633792,0.272275
8,0.03,8,0.0410616,4214.39,0.000634674,0.274348
8,0.03,9,0.0411385,4226.86,0.000634856,0.279574
8,0.03,10,0.0398824,4229.54,0.000633783,0.259851
8,0.04,1,0.0395755,4509.8,0.000633904,0.268834
8,0.04,2,0.0389822,4643.33,0.000633333,0.257105
8,0.04,3,0.0387791,4635.8,0.000633593,0.266379
8,0.04,4,0.0369054,4575.83,0.000632738,0.26122
8,0.04,5,0.0384184,4560.64,0.000633393,0.265498
8,0.04,6,0.039049,4630.51,0.000633879,0.272144
8,0.04,7,0.040832,4540.57,0.000634302,0.266795
8,0.04,8,0.0379427,4582.72,0.000633374,0.270371
8,0.04,9,0.0391211,4623.38,0.000633699,0.265012
8,0.04,10,0.0390313,4559.16,0.000633341,0.257706
8,0.05,1,0.0402161,4679.62,0.000634202,0.270446
8,0.05,2,0.0402734,4799.89,0.000633986,0.264188
8,0.05,3,0.0389336,4700.17,0.000633691,0.268689
8,0.05,4,0.0385825,4721.76,0.000633653,0.272666
8,0.05,5,0.0399952,4521.19,0.000633867,0.262518
8,0.05,6,0.0380308,4638.37,0.00063303,0.259876
8,0.05,7,0.0403633,4721,0.000633973,0.262062
8,0.05,8,0.0381159,4608.91,0.000633097,0.259868
