Topology,VC,Run,Avg_Delay_cycles,IP_Throughput_flits_cycle_IP,Energy_J
folded_torus,1,5,9.95144,0.0802697,4.19386e-06
folded_torus,1,6,10.0889,0.080227,4.19416e-06
folded_torus,1,7,9.9259,0.0774211,4.18346e-06
folded_torus,1,8,9.85926,0.081477,4.19556e-06
folded_torus,1,9,9.87836,0.0791743,4.18872e-06
folded_torus,1,10,9.57388,0.0795757,4.18993e-06
folded_torus,2,1,9.17339,0.0808717,7.8282e-06
folded_torus,2,2,9.32549,0.0805296,7.82775e-06
folded_torus,2,3,8.98162,0.0786645,7.82051e-06
folded_torus,2,4,9.07547,0.0795033,7.82319e-06
folded_torus,2,5,9.39786,0.0813059,7.82829e-06
folded_torus,2,6,9.275,0.0790395,7.82506e-06
folded_torus,2,7,9.12316,0.0767072,7.81517e-06
folded_torus,2,8,9.23384,0.0809737,7.82732e-06
folded_torus,2,9,9.30654,0.0773026,7.81542e-06
folded_torus,2,10,9.35454,0.0822961,7.83407e-06
folded_torus,4,1,8.70936,0.0793092,1.50846e-05
folded_torus,4,2,9.0241,0.078625,1.50863e-05
folded_torus,4,3,8.81493,0.0785888,1.50832e-05
folded_torus,4,4,8.82755,0.0796776,1.50904e-05
folded_torus,4,5,8.63818,0.0803586,1.50903e-05
folded_torus,4,6,8.94098,0.0798882,1.50876e-05
folded_torus,4,7,8.87033,0.0781086,1.50852e-05
folded_torus,4,8,8.81276,0.0812171,1.50905e-05
folded_torus,4,9,8.89785,0.0783289,1.50854e-05
folded_torus,4,10,9.05861,0.0803914,1.50888e-05
folded_torus,8,1,8.51548,0.0798816,2.96155e-05
folded_torus,8,2,8.82209,0.0807138,2.96191e-05
folded_torus,8,3,8.47983,0.0802105,2.96166e-05
folded_torus,8,4,8.42435,0.0784539,2.96136e-05
folded_torus,8,5,8.56742,0.0814836,2.96228e-05
folded_torus,8,6,8.72977,0.0794145,2.96145e-05
folded_torus,8,7,8.48064,0.0774539,2.96096e-05
folded_torus,8,8,8.82404,0.0820789,2.96225e-05
folded_torus,8,9,8.44079,0.0790428,2.96147e-05
folded_torus,8,10,8.71494,0.0805033,2.96197e-05
folded_torus,16,1,8.66865,0.0795691,5.86716e-05
folded_torus,16,2,8.544,0.0790461,5.86709e-05
folded_torus,16,3,8.46379,0.0792138,5.86715e-05
folded_torus,16,4,8.39597,0.0796316,5.86698e-05
folded_torus,16,5,8.52616,0.0819836,5.86804e-05
folded_torus,16,6,8.31487,0.0798553,5.8672e-05
folded_torus,16,7,8.1731,0.0770789,5.8662e-05
folded_torus,16,8,8.44126,0.0817467,5.86783e-05
folded_torus,16,9,8.33853,0.0793849,5.86716e-05
folded_torus,16,10,8.61244,0.0816776,5.86797e-05
octagon,1,1,8.84146,0.0767368,2.07792e-06
octagon,1,2,8.53733,0.0789934,2.07925e-06
octagon,1,3,8.66978,0.0788816,2.07928e-06
octagon,1,4,8.354,0.0789474,2.07876e-06
octagon,1,5,9.26073,0.0822632,2.08514e-06
octagon,1,6,8.72776,0.0787039,2.0801e-06
octagon,1,7,8.39702,0.0777171,2.07808e-06
octagon,1,8,9.04145,0.0825329,2.08485e-06
octagon,1,9,8.23445,0.077,2.07737e-06
octagon,1,10,9.47302,0.0838684,2.08588e-06
octagon,2,1,7.65191,0.0772697,3.89384e-06
octagon,2,2,8.04428,0.0796908,3.89762e-06
octagon,2,3,8.11245,0.0786316,3.89463e-06
octagon,2,4,7.86896,0.0794276,3.89725e-06
octagon,2,5,8.67148,0.0837829,3.9025e-06
octagon,2,6,8.01635,0.0772434,3.89337e-06
octagon,2,7,7.7391,0.07725,3.89241e-06
octagon,2,8,8.36255,0.0840066,3.90269e-06
octagon,2,9,8.1817,0.0782368,3.89531e-06
octagon,2,10,8.25062,0.0848026,3.90285e-06
octagon,4,1,7.53581,0.0778882,7.52602e-06
octagon,4,2,7.80054,0.0786908,7.52699e-06
octagon,4,3,7.57625,0.0780526,7.52459e-06
octagon,4,4,7.66801,0.0786382,7.52831e-06
octagon,4,5,8.27398,0.0840263,7.53433e-06
octagon,4,6,7.78895,0.0790592,7.52802e-06
octagon,4,7,7.85744,0.0767632,7.52482e-06
octagon,4,8,8.04557,0.082,7.53216e-06
octagon,4,9,7.81674,0.0798618,7.52855e-06
octagon,4,10,7.76414,0.0826974,7.53231e-06
octagon,8,1,7.41051,0.0790526,1.47924e-05
octagon,8,2,7.62007,0.0787961,1.47913e-05
octagon,8,3,7.78442,0.0783947,1.47901e-05
octagon,8,4,7.22038,0.0794737,1.4792e-05
octagon,8,5,7.77643,0.0821053,1.47959e-05
octagon,8,6,7.56878,0.0796184,1.47925e-05
octagon,8,7,7.37823,0.0773684,1.47891e-05
octagon,8,8,7.42786,0.0842171,1.47987e-05
octagon,8,9,7.44384,0.0769013,1.47907e-05
octagon,8,10,7.57224,0.0830197,1.47953e-05
octagon,16,1,7.28788,0.0799408,2.93213e-05
octagon,16,2,7.46662,0.0796776,2.93204e-05
octagon,16,3,7.5138,0.0781908,2.93179e-05
octagon,16,4,7.29213,0.0795592,2.93207e-05
octagon,16,5,7.81539,0.0807237,2.9322e-05
octagon,16,6,7.48818,0.0779013,2.93191e-05
octagon,16,7,7.00277,0.0760461,2.93157e-05
octagon,16,8,7.86192,0.0834671,2.93244e-05
octagon,16,9,7.28745,0.0780592,2.93191e-05
octagon,16,10,7.62039,0.0841711,2.93253e-05
bft,1,1,13.9481,0.0790987,2.28861e-06
bft,1,2,13.3168,0.0735526,2.2686e-06
bft,1,3,14.2952,0.0774145,2.28244e-06
bft,1,4,13.8892,0.0788026,2.2896e-06
bft,1,5,14.2707,0.0800526,2.2946e-06
bft,1,6,14.1256,0.0779803,2.28718e-06
bft,1,7,14.4987,0.0798158,2.28988e-06
bft,1,8,14.3552,0.0824737,2.30352e-06
bft,1,9,14.21,0.0776711,2.28318e-06
bft,1,10,15.1128,0.0811908,2.29741e-06
bft,2,1,13.5822,0.0784803,4.10424e-06
bft,2,2,13.463,0.0788947,4.10556e-06
bft,2,3,13.7911,0.0783947,4.10056e-06
bft,2,4,13.7503,0.0790263,4.10608e-06
bft,2,5,14.1035,0.0829079,4.12225e-06
bft,2,6,13.6083,0.0777763,4.10317e-06
bft,2,7,13.2258,0.0762237,4.09359e-06
bft,2,8,13.6546,0.0825329,4.11749e-06
bft,2,9,14.048,0.0788947,4.10621e-06
bft,2,10,14.1749,0.0831053,4.11931e-06
bft,4,1,13.1445,0.0786645,7.73587e-06
bft,4,2,13.088,0.0801316,7.74269e-06
bft,4,3,12.9517,0.0784342,7.73289e-06
bft,4,4,13.2056,0.0785724,7.73538e-06
bft,4,5,13.3418,0.0827368,7.7532e-06
bft,4,6,12.6676,0.0777237,7.73555e-06
bft,4,7,13.1485,0.0772171,7.72737e-06
bft,4,8,13.2365,0.0818816,7.7468e-06
bft,4,9,13.4892,0.0804868,7.74179e-06
bft,4,10,13.4036,0.0823618,7.74971e-06
bft,8,1,12.7446,0.0758882,1.4991e-05
bft,8,2,12.406,0.077125,1.49944e-05
bft,8,3,13.1617,0.0791579,1.50025e-05
bft,8,4,12.7311,0.0779079,1.49969e-05
bft,8,5,12.9371,0.0811908,1.501e-05
bft,8,6,12.745,0.0792368,1.50055e-05
bft,8,7,12.6281,0.0786842,1.49967e-05
bft,8,8,12.8239,0.0814934,1.50097e-05
bft,8,9,12.8949,0.0801184,1.5004e-05
bft,8,10,13.1082,0.0818355,1.50107e-05
bft,16,1,12.5669,0.0762632,2.9519e-05
bft,16,2,12.6362,0.0795658,2.95317e-05
bft,16,3,12.6566,0.0782763,2.95269e-05
bft,16,4,12.8327,0.0774276,2.9522e-05
bft,16,5,12.9501,0.0811447,2.95368e-05
bft,16,6,12.615,0.0793882,2.95335e-05
bft,16,7,12.656,0.0776711,2.95223e-05
bft,16,8,13.0767,0.0843618,2.95484e-05
bft,16,9,12.8512,0.0785066,2.95278e-05
bft,16,10,12.7204,0.0790855,2.95295e-05
spin,1,1,13.9481,0.0790987,2.28861e-06
spin,1,2,13.3168,0.0735526,2.2686e-06
spin,1,3,14.2952,0.0774145,2.28244e-06
spin,1,4,13.8892,0.0788026,2.2896e-06
spin,1,5,14.2707,0.0800526,2.2946e-06
spin,1,6,14.1256,0.0779803,2.28718e-06
spin,1,7,14.4987,0.0798158,2.28988e-06
spin,1,8,14.3552,0.0824737,2.30352e-06
spin,1,9,14.21,0.0776711,2.28318e-06
spin,1,10,15.1128,0.0811908,2.29741e-06
spin,2,1,13.5822,0.0784803,4.10424e-06
spin,2,2,13.463,0.0788947,4.10556e-06
spin,2,3,13.7911,0.0783947,4.10056e-06
spin,2,4,13.7503,0.0790263,4.10608e-06
spin,2,5,14.1035,0.0829079,4.12225e-06
spin,2,6,13.6083,0.0777763,4.10317e-06
spin,2,7,13.2258,0.0762237,4.09359e-06
spin,2,8,13.6546,0.0825329,4.11749e-06
spin,2,9,14.048,0.0788947,4.10621e-06
spin,2,10,14.1749,0.0831053,4.11931e-06
spin,4,1,13.1445,0.0786645,7.73587e-06
spin,4,2,13.088,0.0801316,7.74269e-06
spin,4,3,12.9517,0.0784342,7.73289e-06
spin,4,4,13.2056,0.0785724,7.73538e-06
spin,4,5,13.3418,0.0827368,7.7532e-06
spin,4,6,12.6676,0.0777237,7.73555e-06
spin,4,7,13.1485,0.0772171,7.72737e-06
spin,4,8,13.2365,0.0818816,7.7468e-06
spin,4,9,13.4892,0.0804868,7.74179e-06
spin,4,10,13.4036,0.0823618,7.74971e-06
spin,8,1,12.7446,0.0758882,1.4991e-05
spin,8,2,12.406,0.077125,1.49944e-05
spin,8,3,13.1617,0.0791579,1.50025e-05
spin,8,4,12.7311,0.0779079,1.49969e-05
spin,8,5,12.9371,0.0811908,1.501e-05
spin,8,6,12.745,0.0792368,1.50055e-05
spin,8,7,12.6281,0.0786842,1.49967e-05
spin,8,8,12.8239,0.0814934,1.50097e-05
spin,8,9,12.8949,0.0801184,1.5004e-05
spin,8,10,13.1082,0.0818355,1.50107e-05
spin,16,1,12.5669,0.0762632,2.9519e-05
spin,16,2,12.6362,0.0795658,2.95317e-05
spin,16,3,12.6566,0.0782763,2.95269e-05
spin,16,4,12.8327,0.0774276,2.9522e-05
spin,16,5,12.9501,0.0811447,2.95368e-05
spin,16,6,12.615,0.0793882,2.95335e-05
spin,16,7,12.656,0.0776711,2.95223e-05
spin,16,8,13.0767,0.0843618,2.95484e-05
spin,16,9,12.8512,0.0785066,2.95278e-05
spin,16,10,12.7204,0.0790855,2.95295e-05
