VC,PIR,Run,Avg_IP_Throughput_flits_cycle_IP,Network_Throughput_flits_cycle,Global_Avg_Delay_cycles,Max_Delay_cycles
1,0.01,1,0.0747925,19.1469,1595.41,8670
1,0.01,2,0.0760078,19.458,1564.34,8587
1,0.01,3,0.0757569,19.3938,1531.03,8174
1,0.01,4,0.0758707,19.4229,1524.74,9079
1,0.01,5,0.0770282,19.7192,1571.94,8784
1,0.01,6,0.0762205,19.5124,1505.95,8431
1,0.01,7,0.0750156,19.204,1703.75,9119
1,0.01,8,0.0753963,19.3014,1573.23,8666
1,0.01,9,0.0755781,19.348,1537.4,8347
1,0.01,10,0.0761619,19.4974,1583.59,9286
1,0.02,1,0.0760629,19.4721,3363.86,9375
1,0.02,2,0.0753442,19.2881,3425.59,9607
1,0.02,3,0.0754015,19.3028,3326.59,9466
1,0.02,4,0.0762231,19.5131,3344.01,9357
1,0.02,5,0.0757895,19.4021,3466.06,9521
1,0.02,6,0.0755095,19.3304,3396.06,9317
1,0.02,7,0.0765412,19.5946,3393.01,9490
1,0.02,8,0.0746085,19.0998,3357.02,9339
1,0.02,9,0.0743919,19.0443,3386.98,9300
1,0.02,10,0.0755104,19.3307,3503.24,9026
1,0.03,1,0.0737995,18.8927,3969.22,9533
1,0.03,2,0.0760833,19.4773,4067.35,9564
1,0.03,3,0.0755556,19.3422,4087.71,9275
1,0.03,4,0.0746923,19.1212,4156.25,9437
1,0.03,5,0.0754661,19.3193,4112.7,9532
1,0.03,6,0.0765833,19.6053,4102.92,9584
1,0.03,7,0.07477,19.1411,4104.09,9327
1,0.03,8,0.0767669,19.6523,4076.9,9521
1,0.03,9,0.0750221,19.2057,4073.77,9754
1,0.03,10,0.0759154,19.4343,4169.53,9570
1,0.04,1,0.0742279,19.0023,4484.89,9583
1,0.04,2,0.076138,19.4913,4426.3,9693
1,0.04,3,0.0746159,19.1017,4371.35,9759
1,0.04,4,0.0756836,19.375,4427.04,9675
1,0.04,5,0.0756931,19.3774,4460.72,9571
1,0.04,6,0.0758806,19.4254,4441.91,9573
1,0.04,7,0.0751806,19.2462,4419.17,9604
1,0.04,8,0.0749731,19.1931,4440.65,9538
1,0.04,9,0.076572,19.6024,4411.05,9575
1,0.04,10,0.0758776,19.4247,4474.53,9495
1,0.05,1,0.0760386,19.4659,4562.04,9788
1,0.05,2,0.0756428,19.3646,4668.74,9743
1,0.05,3,0.0756758,19.373,4638.48,9842
1,0.05,4,0.0776671,19.8828,4652.87,9648
1,0.05,5,0.0761914,19.505,4668.4,9711
1,0.05,6,0.075816,19.4089,4674.57,9663
1,0.05,7,0.0755734,19.3468,4620.97,9712
1,0.05,8,0.0763568,19.5473,4595.75,9642
1,0.05,9,0.0749193,19.1793,4617.11,9775
1,0.05,10,0.0736706,18.8597,4562.3,9680
1,0.06,1,0.0752335,19.2598,4758.74,9741
1,0.06,2,0.0757491,19.3918,4801.34,9679
1,0.06,3,0.0757148,19.383,4759.3,9734
1,0.06,4,0.075477,19.3221,4773.48,9800
1,0.06,5,0.0748225,19.1546,4806.44,9762
1,0.06,6,0.0754136,19.3059,4821.82,9679
1,0.06,7,0.0759041,19.4314,4744.89,9629
1,0.06,8,0.0761024,19.4822,4752.65,9781
1,0.06,9,0.0755846,19.3497,4769.12,9775
1,0.06,10,0.0759861,19.4524,4752.21,9747
1,0.07,1,0.0749922,19.198,4851.07,9826
1,0.07,2,0.0748663,19.1658,4864.4,9794
1,0.07,3,0.0753715,19.2951,4900.66,9773
1,0.07,4,0.0757496,19.3919,4868.83,9695
1,0.07,5,0.0757166,19.3834,4873.12,9723
1,0.07,6,0.076115,19.4854,4862.55,9785
1,0.07,7,0.0738503,18.9057,4894.2,9774
1,0.07,8,0.075572,19.3464,4914.94,9794
1,0.07,9,0.0755707,19.3461,4947.64,9763
1,0.07,10,0.0762964,19.5319,4823.44,9756
1,0.08,1,0.0753867,19.299,4984.08,9860
1,0.08,2,0.0763225,19.5386,4994.64,9889
1,0.08,3,0.0740486,18.9564,4831.7,9851
1,0.08,4,0.0764883,19.581,4964.68,9680
1,0.08,5,0.0755703,19.346,4945.15,9892
1,0.08,6,0.0760942,19.4801,4948.28,9843
1,0.08,7,0.0759826,19.4516,4883.01,9725
1,0.08,8,0.0757483,19.3916,4954.42,9802
1,0.08,9,0.0757079,19.3812,4933.9,9891
1,0.08,10,0.0740247,18.9503,4926.46,9766
1,0.09,1,0.0752266,19.258,5070.13,9866
1,0.09,2,0.0757943,19.4033,5041.25,9803
1,0.09,3,0.0737209,18.8726,5000.28,9870
1,0.09,4,0.0752769,19.2709,4977.55,9822
1,0.09,5,0.0742873,19.0176,4993.25,9713
1,0.09,6,0.0765087,19.5862,5015.74,9776
1,0.09,7,0.0753086,19.279,5022.24,9903
1,0.09,8,0.073474,18.8093,4992.82,9837
1,0.09,9,0.0756606,19.3691,4996.61,9789
1,0.09,10,0.0763364,19.5421,5037.8,9863
1,0.10,1,0.0758155,19.4088,5048.34,9825
1,0.10,2,0.0762487,19.5197,5056,9871
1,0.10,3,0.0748511,19.1619,5058.05,9892
1,0.10,4,0.076694,19.6337,5060.52,9787
1,0.10,5,0.0755365,19.3373,5064.63,9787
1,0.10,6,0.0762192,19.5121,5013.56,9781
1,0.10,7,0.0754579,19.3172,5032.34,9827
1,0.10,8,0.0764792,19.5787,5062.53,9751
1,0.10,9,0.0756155,19.3576,5055.92,9796
1,0.10,10,0.0769566,19.7009,5063.59,9769
4,0.01,1,0.0790434,20.2351,1594.31,6635
4,0.01,2,0.0783733,20.0636,1604.07,7278
